delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.004033542029865556 	 0.0002815882014278808 	 0.004004004004004004 	 0.0009999999999999996 	 0.021999280493582365 	 26.593686710511758 	 0.03033460248513776
0.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.05 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.1 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.15 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.2 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.25 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.3 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.35 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.4 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.45 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.5 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.55 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.6 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.65 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.7 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0
0.75 	 0.997 	 0.9985 	 1.003385795349887 	 1.0079132361362233 	 1.004521093400684 	 1.003009027081244 	 1.005204376817491 	 1.0021502234634179 	 1.0016452246235241
0.8 	 0.987 	 0.98825 	 1.0189044060934327 	 1.0196793902406207 	 1.0144677460125648 	 1.0131712259371835 	 1.0083684271763425 	 0.99588309508599 	 1.0068021983505098
0.85 	 0.907 	 0.8675 	 1.094199158594665 	 1.0119930411054403 	 1.0546284600276 	 1.1025358324145567 	 0.9663098878686227 	 0.8795183152697381 	 1.0543982803578948
0.9 	 0.082 	 0.009 	 0.0 	 0.13366776409906408 	 1.353658536585366 	 12.195121951219525 	 0.278311548458 	 0.019871456346214744 	 3.6360487314588426
0.95 	 0.082 	 0.009 	 0.0 	 0.13366776409906408 	 1.353658536585366 	 12.195121951219525 	 0.278311548458 	 0.019871456346214744 	 3.6360487314588426
