,Network,Rn,d,Rn_D av,Rn_D std,Rn_B av,Rn_B std,Rn_Clo av,Rn_Clo std,Rn_Clu av,Rn_Clu std
0,Dolphins,8.661290322580646,0.5,1.8535483870967742,0.24453023685369366,1.7432258064516128,0.19575799652000472,3.177741935483871,0.36109287417555536,4.585483870967742,0.430775995687757
1,Polbooks,12.18095238095238,0.5,2.1052830188679246,0.2274163111604599,2.31,0.18761382056997766,3.2122641509433962,0.2909612330603876,8.415283018867925,0.2890158739139565
2,Word adjacencies,12.241071428571429,0.5,1.7355357142857142,0.1342485355413262,1.5194642857142857,0.10397229856204288,2.4260714285714284,0.30503762723653766,7.2803571428571425,0.4895284364411516
3,Karate,6.617647058823529,0.5,1.1258823529411766,0.12625103578272084,1.0941176470588236,0.1077215324758512,1.5329411764705883,0.21015763077215655,4.455882352941177,0.30103278936806793
4,Circuits1,13.21311475409836,0.5,1.7742622950819673,0.12989664662882977,1.6226229508196721,0.09030247226062023,1.8914754098360655,0.14347926104611872,8.168360655737706,0.9818189170208723
5,bn-macaque-rhesus_brain_2,11.989010989010989,0.5,0.9777777777777777,0.0,0.9777777777777777,0.0,0.9777777777777777,0.0,8.162888888888888,0.27535518220767985
6,soc-tribes,4.705882352941177,0.5,2.6577777777777776,0.2505412522264853,2.4033333333333333,0.346235522854667,2.658888888888889,0.26579308838107696,3.0411111111111113,0.1006959199164318
7,bn-cat-mixed-species_brain_1,10.4,0.5,3.455151515151515,0.27669393694360733,3.7687878787878786,0.3387750435213355,3.7024242424242426,0.2761369016047963,7.093333333333333,0.10361024414123121
8,ca-sandi_auths,7.3023255813953485,0.5,1.2902325581395349,0.08597188035088485,1.297906976744186,0.09176355193842992,1.996046511627907,0.15595413354239945,4.428139534883721,0.644298317287102
9,soc-firm-hi-tech,6.9393939393939394,0.5,1.734705882352941,0.26445753187640514,1.4705882352941178,0.19464718281238777,1.631764705882353,0.2562858361959922,4.740588235294118,0.17933796442444866
10,CAG_mat72,9.652777777777779,0.5,5.686388888888889,0.4798810327432535,4.781666666666666,0.5700688454823677,3.8561111111111113,0.23127532907798376,6.996944444444445,0.16999551610468353
11,ENZYMES123,4.37037037037037,0.5,1.3249253731343285,0.0685725990513039,1.3140298507462687,0.0611875945769254,1.3865671641791044,0.06595132527623879,1.9904477611940299,0.2012818638321651
12,ENZYMES8,2.851063829787234,0.5,1.2664788732394365,0.0665662020361318,1.4195774647887325,0.09407356371587272,1.738169014084507,0.11659315520195335,2.096619718309859,0.19675603611793802
