,Network,Rn,d,Rn_D av,Rn_D std,Rn_B av,Rn_B std,Rn_Clo av,Rn_Clo std,Rn_Clu av,Rn_Clu std
0,Dolphins,7.854838709677419,0.3,3.846046511627907,0.42288651293739493,3.777674418604651,0.4512778079187066,4.958837209302326,0.6634866467207763,6.326976744186046,0.3791441954570934
1,Polbooks,12.41904761904762,0.3,3.4034246575342464,0.3992491355590938,3.8675342465753424,0.290442123116728,6.268630136986301,0.8113192755554802,9.861232876712329,0.3832929884020529
2,Word adjacencies,11.973214285714286,0.3,5.5971794871794875,0.47726098040701914,6.205,0.4884676565395777,7.254871794871795,0.5451060787962625,9.86,0.361020549280098
3,Karate,5.794117647058823,0.3,1.6929166666666666,0.17723787572172017,1.8420833333333333,0.21914656614307415,1.9145833333333333,0.1992880671945774,5.235833333333334,0.3996183996262751
4,Circuits1,13.12295081967213,0.3,1.9092941176470588,0.1086042820391674,1.8703529411764706,0.1050402906232837,1.9414117647058824,0.12244500398580377,9.930588235294117,1.0642397945100517
5,bn-macaque-rhesus_brain_2,12.340659340659341,0.3,0.984375,0.0,0.984375,0.0,0.984375,0.0,9.8821875,0.399210696352278
6,soc-tribes,4.705882352941177,0.3,3.62,0.16297252803272774,3.585,0.17844728729637319,3.6433333333333335,0.1615719636534531,3.8000000000000003,0.05162890984914367
7,bn-cat-mixed-species_brain_1,10.261538461538462,0.3,7.561111111111111,0.4132772731494053,7.435333333333333,0.4006989155218188,7.507555555555555,0.4109089805517058,8.353333333333333,0.13960198531370943
8,ca-sandi_auths,7.023255813953488,0.3,1.4313333333333333,0.09514829821493735,1.343,0.06312921208625014,2.018,0.1312693788804146,6.580333333333333,0.6791193049111698
9,soc-firm-hi-tech,6.303030303030303,0.3,3.617391304347826,0.5409294647173445,2.920434782608696,0.46372920620701596,3.6160869565217393,0.44054395354521775,5.5291304347826085,0.21594202898550727
10,CAG_mat72,10.333333333333334,0.3,7.7698,0.471888490508878,6.817,0.5024334721526761,5.5644,0.3391442588085906,8.6602,0.22862779067004665
11,ENZYMES123,4.340740740740741,0.3,1.32,0.044709470314228075,1.606,0.1200301686617112,1.958,0.16789187867022337,3.2365263157894737,0.36642263500112915
12,ENZYMES8,2.7588652482269502,0.3,1.600808080808081,0.1236489400780217,1.681010101010101,0.09939718274658124,1.7628282828282829,0.10710593064314758,2.429393939393939,0.14032033584021558
